[H[2J[3Jx: 100, y: 0, z:0
x: 99.88584, y: 0, z:2.6146722
x: 99.544235, y: 0, z:5.2094455
x: 98.977776, y: 0, z:7.764571
x: 98.19078, y: 0, z:10.260604
x: 97.18923, y: 0, z:12.678548
x: 95.98076, y: 0, z:15
x: 94.57456, y: 0, z:17.207294
x: 92.98133, y: 0, z:19.283627
x: 91.2132, y: 0, z:21.213203
x: 89.28363, y: 0, z:22.981333
x: 87.20729, y: 0, z:24.574562
x: 85, y: 0, z:25.980762
x: 82.67854, y: 0, z:27.189234
x: 80.260605, y: 0, z:28.190779
x: 77.76457, y: 0, z:28.977774
x: 75.20945, y: 0, z:29.544231
x: 72.61468, y: 0, z:29.885841
x: 70, y: 0, z:30
x: 67.38533, y: 0, z:29.885841
x: 64.79056, y: 0, z:29.544231
x: 62.235428, y: 0, z:28.977774
x: 59.739395, y: 0, z:28.190779
x: 57.32145, y: 0, z:27.189232
x: 55, y: 0, z:25.980762
x: 52.792706, y: 0, z:24.57456
x: 50.71637, y: 0, z:22.981333
x: 48.786797, y: 0, z:21.213203
x: 47.01867, y: 0, z:19.283628
x: 45.425438, y: 0, z:17.207294
x: 44.019238, y: 0, z:15.000002
x: 42.81077, y: 0, z:12.67855
x: 41.80922, y: 0, z:10.260607
x: 41.022224, y: 0, z:7.764574
x: 40.45577, y: 0, z:5.209449
x: 40.11416, y: 0, z:2.6146765
x: 40, y: 0, z:-0.0000026226833
x: 40.11416, y: 0, z:-2.6146743
x: 40.45577, y: 0, z:-5.209447
x: 41.022224, y: 0, z:-7.764572
x: 41.80922, y: 0, z:-10.260605
x: 42.81077, y: 0, z:-12.678548
x: 44.019238, y: 0, z:-14.999999
x: 45.425438, y: 0, z:-17.207293
x: 47.018665, y: 0, z:-19.283627
x: 48.786797, y: 0, z:-21.213202
x: 50.716377, y: 0, z:-22.981337
x: 52.79271, y: 0, z:-24.574564
x: 55.000004, y: 0, z:-25.980762
x: 57.321457, y: 0, z:-27.189234
x: 59.7394, y: 0, z:-28.19078
x: 62.23543, y: 0, z:-28.977776
x: 64.79056, y: 0, z:-29.544233
x: 67.38533, y: 0, z:-29.885841
x: 70, y: 0, z:-30
x: 72.61467, y: 0, z:-29.885841
x: 75.20944, y: 0, z:-29.544231
x: 77.76457, y: 0, z:-28.977774
x: 80.260605, y: 0, z:-28.190779
x: 82.67854, y: 0, z:-27.189234
x: 85, y: 0, z:-25.980762
x: 87.20729, y: 0, z:-24.574564
x: 89.28362, y: 0, z:-22.981335
x: 91.213196, y: 0, z:-21.213207
x: 92.98133, y: 0, z:-19.283632
x: 94.574554, y: 0, z:-17.207296
x: 95.98076, y: 0, z:-15.000006
x: 97.18923, y: 0, z:-12.678554
x: 98.19078, y: 0, z:-10.260611
x: 98.97777, y: 0, z:-7.7645783
x: 99.544235, y: 0, z:-5.2094536
x: 99.88584, y: 0, z:-2.6146808
x: 100, y: 0, z:0.0000052453665
x: 99.61947, y: 8.715573, z:0
x: 99.505745, y: 8.705625, z:2.6146722
x: 99.16544, y: 8.675851, z:5.2094455
x: 98.601135, y: 8.626481, z:7.764571
x: 97.81714, y: 8.55789, z:10.260604
x: 96.8194, y: 8.470599, z:12.678548
x: 95.615524, y: 8.365273, z:15
x: 94.214676, y: 8.242716, z:17.207294
x: 92.62751, y: 8.103856, z:19.283627
x: 90.86611, y: 7.9497538, z:21.213203
x: 88.94388, y: 7.7815804, z:22.981333
x: 86.87544, y: 7.6006155, z:24.574562
x: 84.67655, y: 7.4082375, z:25.980762
x: 82.36393, y: 7.2059093, z:27.189234
x: 79.95519, y: 6.995172, z:28.190779
x: 77.46866, y: 6.7776284, z:28.977774
x: 74.923256, y: 6.554935, z:29.544231
x: 72.338356, y: 6.328786, z:29.885841
x: 69.73363, y: 6.1009016, z:30
x: 67.128914, y: 5.8730183, z:29.885841
x: 64.544014, y: 5.6468687, z:29.544231
x: 61.998604, y: 5.424175, z:28.977774
x: 59.51207, y: 5.206631, z:28.190779
x: 57.103325, y: 4.995893, z:27.189232
x: 54.79071, y: 4.7935658, z:25.980762
x: 52.591816, y: 4.601187, z:24.57456
x: 50.52338, y: 4.4202228, z:22.981333
x: 48.60115, y: 4.2520494, z:21.213203
x: 46.83975, y: 4.0979466, z:19.283628
x: 45.252583, y: 3.9590876, z:17.207294
x: 43.85173, y: 3.836529, z:15.000002
x: 42.64786, y: 3.731204, z:12.67855
x: 41.650124, y: 3.6439133, z:10.260607
x: 40.866123, y: 3.5753222, z:7.764574
x: 40.301823, y: 3.5259523, z:5.209449
x: 39.961514, y: 3.496179, z:2.6146765
x: 39.84779, y: 3.4862294, z:-0.0000026226833
x: 39.961514, y: 3.496179, z:-2.6146743
x: 40.301823, y: 3.5259523, z:-5.209447
x: 40.866123, y: 3.5753222, z:-7.764572
x: 41.650124, y: 3.6439133, z:-10.260605
x: 42.64786, y: 3.731204, z:-12.678548
x: 43.85173, y: 3.836529, z:-14.999999
x: 45.252583, y: 3.9590876, z:-17.207293
x: 46.839745, y: 4.0979466, z:-19.283627
x: 48.60115, y: 4.2520494, z:-21.213202
x: 50.523388, y: 4.420223, z:-22.981337
x: 52.59182, y: 4.6011877, z:-24.574564
x: 54.790714, y: 4.7935658, z:-25.980762
x: 57.103333, y: 4.995894, z:-27.189234
x: 59.512074, y: 5.206631, z:-28.19078
x: 61.998608, y: 5.424175, z:-28.977776
x: 64.544014, y: 5.6468687, z:-29.544233
x: 67.128914, y: 5.8730183, z:-29.885841
x: 69.73363, y: 6.1009016, z:-30
x: 72.33835, y: 6.328785, z:-29.885841
x: 74.92325, y: 6.5549345, z:-29.544231
x: 77.46866, y: 6.7776284, z:-28.977774
x: 79.95519, y: 6.995172, z:-28.190779
x: 82.36393, y: 7.2059093, z:-27.189234
x: 84.67655, y: 7.4082375, z:-25.980762
x: 86.87544, y: 7.6006155, z:-24.574564
x: 88.94387, y: 7.78158, z:-22.981335
x: 90.866104, y: 7.9497533, z:-21.213207
x: 92.62751, y: 8.103856, z:-19.283632
x: 94.21467, y: 8.242715, z:-17.207296
x: 95.615524, y: 8.365273, z:-15.000006
x: 96.8194, y: 8.470599, z:-12.678554
x: 97.81714, y: 8.55789, z:-10.260611
x: 98.60113, y: 8.62648, z:-7.7645783
x: 99.16544, y: 8.675851, z:-5.2094536
x: 99.505745, y: 8.705625, z:-2.6146808
x: 99.61947, y: 8.715573, z:0.0000052453665
x: 98.480774, y: 17.364819, z:0
x: 98.36835, y: 17.344994, z:2.6146722
x: 98.03193, y: 17.285675, z:5.2094455
x: 97.474075, y: 17.187311, z:7.764571
x: 96.69904, y: 17.05065, z:10.260604
x: 95.71271, y: 16.876734, z:12.678548
x: 94.52259, y: 16.666883, z:15
x: 93.13776, y: 16.4227, z:17.207294
x: 91.56873, y: 16.146038, z:19.283627
x: 89.82747, y: 15.839006, z:21.213203
x: 87.92721, y: 15.50394, z:22.981333
x: 85.882416, y: 15.143387, z:24.574562
x: 83.70866, y: 14.760096, z:25.980762
x: 81.42247, y: 14.356978, z:27.189234
x: 79.04127, y: 13.937108, z:28.190779
x: 76.58315, y: 13.503676, z:28.977774
x: 74.06685, y: 13.059984, z:29.544231
x: 71.5115, y: 12.609406, z:29.885841
x: 68.93654, y: 12.155373, z:30
x: 66.361595, y: 11.70134, z:29.885841
x: 63.806244, y: 11.250762, z:29.544231
x: 61.289932, y: 10.807069, z:28.977774
x: 58.831818, y: 10.373637, z:28.190779
x: 56.450607, y: 9.953765, z:27.189232
x: 54.164425, y: 9.55065, z:25.980762
x: 51.990665, y: 9.167357, z:24.57456
x: 49.945873, y: 8.806806, z:22.981333
x: 48.045616, y: 8.471739, z:21.213203
x: 46.304348, y: 8.164706, z:19.283628
x: 44.73532, y: 7.8880444, z:17.207294
